status,authors,title,year,journal,meta,link
published,"Harms MJ, Wilmarth PA, Kapfer DM, Steel EA, David LL, Bachinger HP, Lampi KJ",Laser light-scattering evidence for an altered association of ?B1-crystallin deamidated in the connecting peptide,2003,Protein Science,13:678-686,https://dx.doi.org/10.1110%2Fps.03427504
published,"Hays FA, Teegarden A, Jones ZJR, Harms MJ, Raup D, Watson F, Cavaliere E, Ho PS",How sequence defines structure: a crystallographic map of DNA structure and conformation,2005,PNAS,102(20):7157-7162,https://doi.org/10.1073/pnas.0409455102
published,"Harms MJ, Schlessman JL, Chimenti MS, Sue GR, Damjanovic A, García-Moreno E. B.",A buried lysine that titrates with a normal pKa: Role of conformational flexibility at the protein–water interface as a determinant of pKa values,2008,Protein Science,17:833-845,https://dx.doi.org/10.1110%2Fps.073397708
published,"Harms MJ, Castañeda CA, Schlessman JL, Sue GR, Isom DG, Cannon BR, García-Moreno E. B. ",The pKa values of acidic and basic residues buried at the same internal location in a protein are governed by different factors,2009,Journal of Molecular Biology,389:34-47,https://doi.org/10.1016/j.jmb.2009.03.039
published,"Harms MJ, Thornton JW",Analyzing protein structure and function using ancestral gene reconstruction,2010,Current Opinions in Structural Biology,20(3):360-366,https://doi.org/10.1016/j.sbi.2010.03.005
published,"Bridgham JT, Eick G, Larroux C, Deshpande K, Harms MJ, Gauthier MEA, Ortlund EA, Degnan BM, Thornton JW",Protein evolution by molecular tinkering: diversification of the nuclear receptor superfamily from a ligand-dependent ancestor,2010,PLOS Biology,8(10):e1000497,https://doi.org/10.1371/journal.pbio.1000497
published,"Harms MJ, Schlessman JL, Sue GR, García-Moreno E. B.",Arginine is ionized at internal positions in a protein,2011,PNAS,108(47):18954-9 ,https://doi.org/10.1073/pnas.1104808108
published,"Eick GN, Colucci J, Harms MJ, Ortlund EA, Thornton JW",Evolution of minimal specificity in the steroid receptors,2012,PLOS Genetics,8(11):e1003072,https://doi.org/10.1371/journal.pgen.1003072
published,"Williams SG, Harms MJ, Hall KB",Resurrection of an Urbilaterian U1A/U2B''/SNF protein,2013,Journal of Molecular Biology,425(20):3846–3862,https://doi.org/10.1016/j.jmb.2013.05.031
published,"Harms MJ, Thornton JW",Evolutionary biochemistry: Revealing the historical and physical causes of protein function,2013,Nature Reviews Genetics,14(8):559-571,https://www.nature.com/articles/nrg3540
published,"Harms MJ, Eick GN, Colucci J, Ortlund EA, Thornton JW",Biophysical mechanisms for large-effect mutations in the evolution of steroid hormone receptors,2013,PNAS,110(28):11475-11480,https://www.pnas.org/content/110/28/11475
published,"Harms MJ, Thornton JW",Biophysical basis for historical contingency in glucocorticoid receptor evolution,2014,Nature,512:203-207,https://www.nature.com/articles/nature13410
published,"Hart KM, Harms MJ, Schmidt BH, Thornton JW, Marqusee S",Thermodynamic system drift in the evolution of protein thermostability,2014,PLOS Biology,12(11):e1001994,https://doi.org/10.1371/journal.pbio.1001994
published,"Wheeler LW, Li SM, Marqusee S, Harms MJ",Ancient protein thermostability and specificity [Invited Review],2016,Current Opinions in Structural Biology,38:37-43,https://www.sciencedirect.com/science/article/abs/pii/S0959440X16300501
published,"Li SM, Hart KM, Harms MJ, Marqusee S",Following the folding trajectory of RNases H over evolutionary time: a trend towards kinetic stability,2016,PNAS,113(46):13045-13050,https://www.pnas.org/content/113/46/13045.short
published,"Wheeler LW, Donor M, Prell JS, Harms MJ",Multiple evolutionary origins of ubiquitous Cu2+ and Zn2+ binding in the S100 protein family,2016,PLOS ONE,11(10): e0164740,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0164740
published,"Eick GN, Bridgham JT, Anderson DP, Harms MJ, Thornton JM",Robustness of reconstructed ancestral protein functions to statistical uncertainty,2017,Molecular Biology and Evolution,34 (2):247-261,https://academic.oup.com/mbe/article/34/2/247/2449965
published,"Sailer ZS, Harms MJ",Detecting high-order epistasis in nonlinear genotype-phenotype maps,2017,Genetics,205(3):1079-1088,https://www.genetics.org/content/205/3/1079
published,"Sailer ZS, Harms MJ",High-order epistasis shapes evolutionary trajectories,2017,PLOS Computational Biology,,https://doi.org/10.1371/journal.pcbi.1005541
published,"Sailer ZS, Harms MJ",Molecular ensembles make evolution unpredictable,2017,PNAS,114(45):11938-11943,https://www.pnas.org/content/114/45/11938
published,"Wheeler LW, Harms MJ",Ca2+ and Cu2+ bind independently to human S100A5,2017,BMC Biophysics,10:8,https://doi.org/10.1186/s13628-017-0040-y
published,Harms MJ,Enzymes emerge by upcycling [News & Views],2018,Nature Chemical Biology,14:526-527,https://www.nature.com/articles/s41589-018-0064-x
published,"Wheeler LW, Anderson JA, Morrison AJ, Wong CE, Harms MJ",Conservation of specificity in two low-specificity proteins,2018,Biochemistry,57(5):684-695,https://pubs.acs.org/doi/10.1021/acs.biochem.7b01086
published,"Loes AN, Bridgham JT, Harms MJ",Coevolution of the Toll-Like Receptor 4 complex with calgranulins and lipopolysaccharide,2018,Frontiers in Immunology,,https://doi.org/10.3389/fimmu.2018.00304
published,"Duvuuri H, Wheeler LW, Harms MJ",pytc: open source python software for global analyses of isothermal titration calorimetry data,2018,Biochemistry,57(18):2578–2583,https://pubs.acs.org/doi/10.1021/acs.biochem.7b01264
published,"Anderson JA, Loes AN, Shi R, Waddell GL, Harms MJ",Tracing the evolution of novel features of human Toll-like receptor 4,2019,Protein Science,28(7):1350-1358,https://doi.org/10.1002/pro.3644
published,"Harman JL, Loes AN, Warren GD, Heaphy MC, Lampi KJ, Harms MJ",Evolution of multifunctionality through a pleiotropic substitution in the innate immune protein S100A9,2020,eLife,9:e54100 ,https://elifesciences.org/articles/54100
in press,"Sailer ZS, Shafik SH, Summers RL, Joul A, Patterson-Robert A, Martin RE, Harms MJ",Inferring a complete genotype-phenotype map from a small number of measured phenotypes,2020,PLOS Computational Biology,,
second review,"Loes AN, Hinman MN, Farnsworth DR, Miler AC, Guillemin K, Harms MJ",Identification and characterization of zebrafish Tlr4 co-receptor Md-2,2019,bioRxiv,,https://doi.org/10.1101/817528
first review,"Stewart S, Yette GA, Le Bleu HK, Henner AL, Braunstein JA, Chehab JW, Harms MJ, Stankunas K",Skeletal geometry and nice transitions restore organ size and shape during zebrafish fin regeneration,2019,bioRxiv,,https://doi.org/10.1101/606970 
